seed,scaling,start_idx,gCa0,ECa0,gCa_hat,ECa_hat,chi2,bfgs_ok
24442,normalised,1,1.0,60.0,1.8579919964833664,134.9918406443726,952.0366781357626,true
24442,normalised,2,0.5,200.0,1.8579919964842884,134.99184064426177,952.036678134604,true
24442,normalised,3,3.0,80.0,1.8579919964825977,134.9918406444626,952.0366781358398,true
24442,raw,1,1.0,60.0,1.857991951663305,134.99184517797374,952.0366781360999,true
24442,raw,2,0.5,200.0,1.8579919516650971,134.99184517777812,952.0366781350484,true
24442,raw,3,3.0,80.0,1.8579919516634322,134.99184517797596,952.0366781357641,true
25553,normalised,1,1.0,60.0,2.124846773778322,108.67600367341585,928.6790513678787,true
25553,normalised,2,0.5,200.0,2.124846773778614,108.67600367338362,928.6790513670807,true
25553,normalised,3,3.0,80.0,2.1248467737779655,108.67600367343636,928.6790513673765,true
25553,raw,1,1.0,60.0,2.1248467643289617,108.67600437529315,928.6790513680589,true
25553,raw,2,0.5,200.0,2.1248467643289906,108.67600437528313,928.6790513657597,true
25553,raw,3,3.0,80.0,2.124846764330535,108.67600437515601,928.6790513668226,true
26664,normalised,1,1.0,60.0,1.9664555770391627,123.57765157995419,883.2515007795456,true
26664,normalised,2,0.5,200.0,1.9664555770407541,123.57765157980147,883.2515007794157,true
26664,normalised,3,3.0,80.0,1.966455577040759,123.57765157979743,883.2515007803116,true
26664,raw,1,1.0,60.0,1.9664555321827317,123.57765558489059,883.2515007802683,true
26664,raw,2,0.5,200.0,1.9664555321839339,123.57765558477023,883.2515007799168,true
26664,raw,3,3.0,80.0,1.9664555321832151,123.5776555848434,883.251500779948,true
27775,normalised,1,1.0,60.0,1.9459947413765981,125.18778005114912,924.0036190272002,true
27775,normalised,2,0.5,200.0,1.94599474137593,125.18778005121239,924.0036190260068,true
27775,normalised,3,3.0,80.0,1.945994741376059,125.18778005120687,924.0036190264263,true
27775,raw,1,1.0,60.0,1.945994678222397,125.18778610206138,924.0036190257023,true
27775,raw,2,0.5,200.0,1.9459946782229556,125.18778610200111,924.0036190271203,true
27775,raw,3,3.0,80.0,1.9459946782226294,125.18778610203901,924.003619025717,true
28886,normalised,1,1.0,60.0,1.7611524491156823,145.80402105196387,964.2328274207888,true
28886,normalised,2,0.5,200.0,1.7611524491157515,145.80402105195606,964.2328274210497,true
28886,normalised,3,3.0,80.0,1.7611524491149875,145.80402105205883,964.2328274210679,true
28886,raw,1,1.0,60.0,1.7611524180102687,145.80402454932343,964.2328274208381,true
28886,raw,2,0.5,200.0,1.7611524180202343,145.8040245480982,964.232827420853,true
28886,raw,3,3.0,80.0,1.7611524180261318,145.8040245473553,964.2328274205048,true
29997,normalised,1,1.0,60.0,2.0176729306831813,118.75050760152341,980.9594102472487,true
29997,normalised,2,0.5,200.0,2.0176729306854195,118.7505076013276,980.9594102427917,true
