gCa_true,seed,gCa,ECa,sse_full,sse_v,chi2
2.0,1111,0.1,186.0,16145.698145812328,16142.843395253314,195839.67843435024
2.0,1111,0.1,189.0,16126.181539643412,16123.33050699066,195580.07316215456
2.0,1111,0.1,192.0,16106.66347459309,16103.816159003605,195320.53423160367
2.0,1111,0.1,195.0,16087.14398318132,16084.300383809217,195061.06187181614
2.0,1111,0.1,198.0,16067.623098160206,16064.78321415662,194801.6563139674
2.0,1111,0.1,201.0,16048.100853156591,16045.264683669617,194542.3177940918
2.0,1111,0.1,204.0,16028.577269136462,16025.744813309479,194283.0465398928
2.0,1111,0.1,207.0,16009.05240080465,16006.223657781247,194023.84278812297
2.0,1111,0.1,210.0,15989.526274568932,15986.701243487936,193764.70678945555
2.0,1111,0.1,213.0,15969.998924546186,15967.177604543302,193505.63878433048
2.0,1111,0.1,216.0,15950.470384057806,15947.65277426697,193246.6389743675
2.0,1111,0.1,219.0,15930.940669480608,15928.126769027962,192987.7076477352
2.0,1111,0.1,222.0,15911.409844866024,15908.599652880297,192728.84501086848
2.0,1111,0.1,225.0,15891.877929889732,15889.071445494938,192470.0512858662
2.0,1111,0.1,228.0,15872.344992313754,15869.542214616626,192211.3273320685
2.0,1111,0.1,231.0,15852.810974182548,15850.011902312615,191952.67211758735
2.0,1111,0.1,234.0,15833.27596422173,15830.480597293534,191694.08651848751
2.0,1111,0.1,237.0,15813.739996754988,15810.94833388015,191435.57077155216
2.0,1111,0.1,240.0,15794.20310715125,15791.415147438147,191177.1251236247
2.0,1111,0.1,243.0,15774.66533141436,15771.881073968218,190918.74982274737
2.0,1111,0.1,246.0,15755.126706073497,15752.346149996374,190660.44511817585
2.0,1111,0.1,249.0,15735.58726772743,15732.81041211823,190402.21125917553
2.0,1111,0.1,252.0,15716.04705317454,15713.273897129016,190144.04849625364
2.0,1111,0.1,255.0,15696.506017865602,15693.736560489873,189885.95629524154
2.0,1111,0.1,258.0,15676.964359359512,15674.198599729463,189627.9364725244
2.0,1111,0.1,261.0,15657.422033686646,15654.659970888677,189369.98849034178
2.0,1111,0.1,264.0,15637.879107105333,15635.120740199884,189112.11365752696
2.0,1111,0.1,267.0,15618.335595474991,15615.580923566777,188854.31019782982
2.0,1111,0.1,270.0,15598.791485604155,15596.040507768694,188596.57920920037
2.0,1111,0.1,273.0,15579.246859706791,15576.499575017915,188338.92107382938
2.0,1111,0.1,276.0,15559.701756057553,15556.958163585932,188081.33604802305
2.0,1111,0.1,279.0,15540.156213077507,15537.416311890629,187823.82438871884
2.0,1111,0.1,282.0,15520.610270016881,15517.874059179047,187566.38635614022
2.0,1111,0.1,285.0,15501.06396603638,15498.331444608712,187309.02221035885
2.0,1111,0.1,288.0,15481.517340490529,15478.788507530959,187051.73221228554
2.0,1111,0.1,291.0,15461.970432936365,15459.24528749961,186794.51662366834
2.0,1111,0.1,294.0,15442.423283151677,15439.701824289274,186537.37570725736
2.0,1111,0.1,297.0,15422.875931820234,15420.158158580487,186280.309727479
2.0,1111,0.1,300.0,15403.328419907757,15400.614331335762,186023.31895268624
2.0,1111,0.15,0.0,17082.91866685041,17079.882552500494,208526.33229735706
2.0,1111,0.15,3.0,17053.828606523846,17050.79811879678,208132.8136082059
2.0,1111,0.15,6.0,17024.732578574272,17021.707715886358,207739.42263925768
